0050;5;3
0070;7;3
0075;7E;3
0078;7G;3
0085;8E;3
0090;9;3
0100;10;3
0110;11;3
0130;13;3
0131;13A;3
0150;15;3
0160;16;3
0161;16A;3
0205;20E;3
0210;21;3
0211;21A;3
0220;22;3
0221;22A;3
0230;23;3
0235;23E;3
0250;25;3
0260;26;3
0270;27;3
0290;29;3
0300;30;3
0301;30A;3
0310;31;3
0320;32;3
0330;33;3
0340;34;3
0350;35;3
0360;36;3
0380;38;3
0381;38A;3
0390;39;3
0400;40;3
0402;40B;3
0405;40E;3
0440;44;3
0450;45;3
0460;46;3
0530;53;3
0540;54;3
0550;55;3
0570;57;3
0580;58;3
0630;63;3
0640;64;3
0641;64A;3
0650;65;3
0651;65A;3
0660;66;3
0662;66B;3
0665;66E;3
0670;67;3
0680;68;3
0710;71;3
0845;84E;3
0850;85;3
0855;85E;3
0870;87;3
0880;88;3
0882;88B;3
0895;89E;3
0910;91;3
0920;92;3
0921;92A;3
0930;93;3
0931;93A;3
0945;94E;3
0950;95;3
0960;96;3
0975;97E;3
0980;98;3
0985;98E;3
0990;99;3
1005;100E;3
1012;101B;3
1015;101E;3
1020;102;3
1030;103;3
1040;104;3
1041;104A;3
1050;105;3
1060;106;3
1085;108E;3
1090;109;3
1100;110;3
1110;111;3
1120;112;3
1130;113;3
1131;113A;3
1140;114;3
1150;115;3
1160;116;3
1170;117;3
1180;118;3
1190;119;3
1200;120;3
1210;121;3
1220;122;3
1230;123;3
1231;123A;3
1240;124;3
1250;125;3
1260;126;3
1261;126A;3
1280;128;3
1290;129;3
1300;130;3
1310;131;3
1335;133E;3
1340;134;3
1350;135;3
1365;136E;3
1370;137;3
1380;138;3
1390;139;3
1400;140;3
1401;140A;3
1402;140B;3
1410;141;3
1420;142;3
1430;143;3
1440;144;3
1460;146;3
1461;146A;3
1470;147;3
1480;148;3
1490;149;3
1500;150;3
1510;151;3
1520;152;3
1530;153;3
1540;154;3
1542;154B;3
1550;155;3
1560;156;3
1570;157;3
1571;157A;3
1580;158;3
1590;159;3
1600;160;3
1610;161;3
1611;161A;3
1620;162;3
1621;162A;3
1640;164;3
1650;165;3
1660;166;3
1685;168E;3
1695;169E;3
1700;170;3
1720;172;3
1722;172B;3
1730;173;3
1740;174;3
1750;175;3
1765;176E;3
1780;178;3
1790;179;3
1810;181;3
1820;182;3
1830;183;3
1840;184;3
1850;185;3
1860;186;3
1870;187;3
1885;188E;3
1910;191;3
1935;193E;3
1940;194;3
1942;194B;3
1950;195;3
1960;196;3
1961;196A;3
1970;197;3
1980;198;3
1990;199;3
2005;200E;3
2015;201E;3
2025;202E;3
2040;204;3
2120;212;3
2130;213;3
2140;214;3
2170;217;3
2175;217E;3
2180;218;3
2190;219;3
2200;220;3
2220;222;3
2240;224;3
2250;225;3
2300;230;3
2310;231;3
2360;236;3
2361;236A;3
2370;237;3
2380;238;3
2400;240;3
2410;241;3
2411;241A;3
2430;243;3
2440;244;3
2500;250;3
2502;250B;3
2510;251;3
2511;251A;3
2545;254E;3
2570;257;3
2600;260;3
2601;260A;3
2615;261E;3
2620;262;3
2640;264;3
2660;266;3
2700;270;3
2720;272;3
2765;276E;3
2770;277;3
2780;278;3
2790;279;3
2800;280;3
2810;281;3
2825;282E;3
2845;284E;3
2870;287;3
2910;291;3
2945;294E;3
2960;296;3
2961;296A;3
2970;297;3
2980;298;3
3010;1;0
3020;2;0
3030;3;0
3040;4;0
3060;6;0
3120;12;0
3124;12M;0
3140;14;0
3144;14M;0
3170;17;0
3190;19;0
3240;24;0
3248;24G;0
3280;28;0
3281;28A;0
3370;37;0
3371;37A;0
3410;41;0
3420;42;0
3470;47;0
3472;47B;0
3480;48;0
3490;49;0
3500;50;0
3510;51;0
3511;51A;0
3520;52;0
3560;56;0
3561;56A;0
3590;59;0
3591;59A;0
3592;59B;0
3600;60;0
3610;61;0
3620;62;0
3621;62A;0
3690;69;0
4700;70;800
4720;72;800
4730;73;800
4740;74;800
4741;74A;800
4750;75;800
4760;76;800
4770;77;800
4780;78;800
4790;79;800
4800;80;800
4801;80A;800
4810;81;800
4820;82;800
4830;83;800
5100;M1;1
5200;M2;1
5300;M3;1
5400;M4;1
6100;H8;109
6130;H8;109
6150;H9;109
6200;H6;109
6210;H6;109
6230;H6;109
6300;H7;109
6400;H5;109
6470;H5;109
8020;D2;4
8110;D11;4
8140;D14;4
9010;901;3
9070;907;3
9080;908;3
9090;909;3
9140;914;3
9141;914A;3
9160;916;3
9180;918;3
9220;922;3
9230;923;3
9300;930;3
9310;931;3
9340;934;3
9370;937;3
9380;938;3
9400;940;3
9410;941;3
9430;943;3
9480;948;3
9500;950;3
9501;950A;3
9560;956;3
9600;960;3
9630;963;3
9640;964;3
9660;966;3
9680;968;3
9720;972;3
9722;972B;3
9730;973;3
9790;979;3
9791;979A;3
9800;980;3
9900;990;3
9920;992;3
9940;994;3
9960;996;3
9961;996A;3
9980;998;3
9990;999;3
HK65;H9;3
HK62;H6;3
HK63;H7;3
KT01;KT01;3
MOZG;MOZG;3
MP53;M3;3
MP31;M3A;3
MP33;M3;3
MP36;M3;3
TGAZ;TGAZ;3
VP06;6;3
VP24;24;3
VP28;28;3
VP60;60;3
VP61;60A;3
VP602;60B;3
